crawled_at,property_name,property_id,competitor_name,ota,checkin_date,checkout_date,room_type,price,currency,availability,url,error,is_own,is_promo
2026-04-15 20:43:52,소노캄 비발디파크,sonocam_vivaldi,웰리힐리파크,야놀자,2026-04-21,2026-04-22,스탠다드 B,92660,KRW,available,https://nol.yanolja.com/stay/domestic/3016118?checkInDate=2026-04-21&checkOutDate=2026-04-22,,False,False
2026-04-15 20:43:52,소노캄 비발디파크,sonocam_vivaldi,웰리힐리파크,야놀자,2026-04-21,2026-04-22,스탠다드 B 트리플,98310,KRW,available,https://nol.yanolja.com/stay/domestic/3016118?checkInDate=2026-04-21&checkOutDate=2026-04-22,,False,False
2026-04-15 20:43:52,소노캄 비발디파크,sonocam_vivaldi,웰리힐리파크,야놀자,2026-04-21,2026-04-22,패밀리,119780,KRW,available,https://nol.yanolja.com/stay/domestic/3016118?checkInDate=2026-04-21&checkOutDate=2026-04-22,,False,False
2026-04-15 20:43:52,소노캄 비발디파크,sonocam_vivaldi,웰리힐리파크,야놀자,2026-04-21,2026-04-22,스위트 B,141250,KRW,available,https://nol.yanolja.com/stay/domestic/3016118?checkInDate=2026-04-21&checkOutDate=2026-04-22,,False,False
2026-04-15 20:43:52,소노캄 비발디파크,sonocam_vivaldi,웰리힐리파크,야놀자,2026-04-21,2026-04-22,럭셔리 B,164980,KRW,available,https://nol.yanolja.com/stay/domestic/3016118?checkInDate=2026-04-21&checkOutDate=2026-04-22,,False,False
2026-04-15 20:43:54,소노캄 비발디파크,sonocam_vivaldi,휘닉스 리조트 평창,야놀자,2026-04-16,2026-04-17,스탠다드 20평,73700,KRW,available,https://nol.yanolja.com/stay/domestic/3001676?checkInDate=2026-04-16&checkOutDate=2026-04-17,,False,False
2026-04-15 20:43:54,소노캄 비발디파크,sonocam_vivaldi,휘닉스 리조트 평창,야놀자,2026-04-16,2026-04-17,스카이 스탠다드 20평,104600,KRW,available,https://nol.yanolja.com/stay/domestic/3001676?checkInDate=2026-04-16&checkOutDate=2026-04-17,,False,False
2026-04-15 20:43:54,소노캄 비발디파크,sonocam_vivaldi,휘닉스 리조트 평창,야놀자,2026-04-16,2026-04-17,스탠다드 20평 - 펫룸,120500,KRW,available,https://nol.yanolja.com/stay/domestic/3001676?checkInDate=2026-04-16&checkOutDate=2026-04-17,,False,False
2026-04-15 20:43:54,소노캄 비발디파크,sonocam_vivaldi,휘닉스 리조트 평창,야놀자,2026-04-16,2026-04-17,스위트 30평,138550,KRW,available,https://nol.yanolja.com/stay/domestic/3001676?checkInDate=2026-04-16&checkOutDate=2026-04-17,,False,False
2026-04-15 20:43:54,소노캄 비발디파크,sonocam_vivaldi,휘닉스 리조트 평창,야놀자,2026-04-16,2026-04-17,스카이 스위트 30평,157550,KRW,available,https://nol.yanolja.com/stay/domestic/3001676?checkInDate=2026-04-16&checkOutDate=2026-04-17,,False,False
2026-04-15 20:43:54,소노캄 비발디파크,sonocam_vivaldi,휘닉스 리조트 평창,야놀자,2026-04-16,2026-04-17,유로빌라 로얄 40평,157550,KRW,available,https://nol.yanolja.com/stay/domestic/3001676?checkInDate=2026-04-16&checkOutDate=2026-04-17,,False,False
2026-04-15 20:43:54,소노캄 비발디파크,sonocam_vivaldi,휘닉스 리조트 평창,야놀자,2026-04-16,2026-04-17,스위트 30평 - 펫룸,168000,KRW,available,https://nol.yanolja.com/stay/domestic/3001676?checkInDate=2026-04-16&checkOutDate=2026-04-17,,False,False
2026-04-15 20:43:54,소노캄 비발디파크,sonocam_vivaldi,휘닉스 리조트 평창,야놀자,2026-04-16,2026-04-17,스카이 스탠다드 20평 - 펫룸,196500,KRW,available,https://nol.yanolja.com/stay/domestic/3001676?checkInDate=2026-04-16&checkOutDate=2026-04-17,,False,False
2026-04-15 20:43:54,소노캄 비발디파크,sonocam_vivaldi,휘닉스 리조트 평창,야놀자,2026-04-16,2026-04-17,스카이 로얄 40평,205050,KRW,available,https://nol.yanolja.com/stay/domestic/3001676?checkInDate=2026-04-16&checkOutDate=2026-04-17,,False,False
