property_name,competitor_name,ota,room_category,checkin_date,2026-04-17,2026-04-18,2026-04-19,2026-04-20,2026-04-21,2026-04-22,2026-04-23,2026-04-24,2026-04-25,2026-04-26,2026-04-27,2026-04-28,2026-04-29
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/Hotels.com,스위트,2026-05-22,,,,,,450000.0,450000.0,450000.0,450000.0,450000.0,450000.0,450000.0,450000.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/Hotels.com,스위트,2026-05-27,,,,,,,,,,,,220000.0,220000.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/Hotels.com,스위트,2026-05-29,,,,,,,,,,,,,270000.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/Trip.com,디럭스,2026-04-24,,200557.0,200557.0,200557.0,200557.0,200557.0,200557.0,200557.0,200557.0,200557.0,200557.0,200557.0,200557.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/Trip.com,디럭스,2026-04-25,,,,276965.0,276965.0,276965.0,276965.0,276965.0,276965.0,276965.0,276965.0,276965.0,276965.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/Trip.com,디럭스,2026-04-29,,,,,,,,,,,,157581.0,157581.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/Trip.com,디럭스,2026-05-06,,,,,,,,,,,,151851.0,151851.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/Trip.com,디럭스,2026-05-08,,200557.0,200557.0,200540.0,200540.0,200540.0,200540.0,200540.0,200540.0,200540.0,200540.0,200540.0,200540.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/Trip.com,디럭스,2026-05-09,,257859.0,257859.0,257859.0,257859.0,257859.0,257859.0,257842.0,257842.0,257842.0,257842.0,257842.0,257842.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/Trip.com,디럭스,2026-05-13,,,,,,,,,,,,151851.0,151845.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/Trip.com,디럭스,2026-05-15,,181456.0,181456.0,181441.0,181441.0,181441.0,181441.0,181441.0,181441.0,181441.0,181441.0,181441.0,181441.0
